CPUTime,prefix,type
44863,site/,JAVA
806,src/test,JAVA
576,src/main,JAVA
1807,tools/,JAVA
2440,src/main,JAVA
7844,src/main,JAVA
10158,src/main,JAVA
12167,tools/,JAVA
1459,tools/,JAVA
1629,tools/,JAVA
7754,tools/,JAVA
23810,tools/,JAVA
5638,tools/,JAVA
4021,site/,C/C++
637,tools/,JAVA
13278,site/,JAVA
758,tools/,JAVA
2980,src/main,JAVA
10570,src/main,JAVA
2717,tools/,JAVA
10802,site/,JAVA
638,site/,C/C++
599,tools/,python
1829,src/main,JAVA
7263,src/main,JAVA
1538,tools/,JAVA
1555,src/main,JAVA
1731,tools/,JAVA
1342,tools/,JAVA
2224,src/main,JAVA
1720,src/main,JAVA
5223,src/main,JAVA
3321,tools/,JAVA
1683,tools/,JAVA
3854,tools/,JAVA
6209,src/main,JAVA
9824,src/main,JAVA
4148,tools/,JAVA
18998,src/main,JAVA
2875,src/main,JAVA
12219,tools/,JAVA
3497,tools/,JAVA
3811,src/main,JAVA
5221,src/test,Starlark
677,src/test,Starlark
688,src/main,JAVA
651,src/main,JAVA
2287,tools/,JAVA
690,src/test,JAVA
1354,src/main,JAVA
1465,tools/,JAVA
1655,tools/,JAVA
2086,src/main,JAVA
684,tools/,JAVA
2534,src/main,Starlark
13575,src/main,JAVA
2474,src/main,JAVA
1727,src/tools,C/C++
710,src/main,JAVA
4265,tools/,JAVA
596,src/test,JAVA
584,src/test,JAVA
596,src/test,JAVA
716,src/main,JAVA
3771,tools/,JAVA
1614,tools/,JAVA
1636,src/main,Starlark
12398,tools/,Starlark
1200,site/,C/C++
2248,src/main,JAVA
20446,src/main,JAVA
1532,src/main,JAVA
8512,site/,JAVA
816,tools/,JAVA
7163,src/main,JAVA
7715,src/main,JAVA
4513,site/,C/C++
660,src/main,JAVA
6474,src/test,Starlark
630,src/main,JAVA
1172,src/main,JAVA
2650,src/test,JAVA
609,src/tools,C/C++
587,tools/,JAVA
15676,src/main,JAVA
1641,src/main,JAVA
1689,tools/,JAVA
3968,site/,JAVA
593,src/main,JAVA
2309,tools/,JAVA
1331,src/main,JAVA
1990,tools/,JAVA
1464,tools/,JAVA
2071,tools/,JAVA
16088,tools/,JAVA
2016,tools/,JAVA
10945,site/,JAVA
657,site/,C/C++
636,site/,JAVA
688,site/,JAVA
743,tools/,JAVA
7295,src/test,JAVA
598,src/main,C/C++
4878,site/,JAVA
627,src/main,JAVA
2493,tools/,python
1326,site/,JAVA
746,site/,JAVA
570,tools/,JAVA
7537,src/tools,C/C++
668,src/test,JAVA
566,tools/,JAVA
1719,tools/,JAVA
3323,src/main,JAVA
1983,tools/,JAVA
5014,tools/,JAVA
1375,bazelci/,Starlark
1707,bazelci/,Starlark
589,site/,JAVA
629,tools/,Starlark
14278,tools/,Starlark
770,tools/,JAVA
1496,tools/,JAVA
15278,site/,JAVA
651,src/main,JAVA
1612,tools/,JAVA
2703,tools/,JAVA
3882,tools/,JAVA
8791,src/test,JAVA
672,site/,JAVA
577,scripts/,Starlark
610,src/main,JAVA
2015,src/main,JAVA
821,tools/,JAVA
1324,src/main,JAVA
1437,src/test,JAVA
596,tools/,JAVA
7977,tools/,JAVA
13870,scripts/,Starlark
777,src/main,JAVA
3490,src/test,Starlark
723,src/test,Starlark
665,src/test,Starlark
609,src/test,Starlark
635,tools/,JAVA
10212,src/main,JAVA
2579,src/main,JAVA
1732,src/test,Starlark
981,src/main,JAVA
1992,src/main,JAVA
1825,src/main,JAVA
1855,site/,JAVA
612,src/main,JAVA
7658,src/main,JAVA
12439,site/,JAVA
860,src/main,JAVA
1714,src/main,JAVA
1619,tools/,JAVA
1496,src/main,JAVA
3303,src/main,JAVA
2520,src/main,JAVA
4125,src/main,JAVA
1534,tools/,JAVA
3535,src/main,JAVA
3455,tools/,Starlark
1589,tools/,JAVA
2197,tools/,JAVA
3251,tools/,JAVA
1849,src/test,Starlark
613,tools/,JAVA
1683,src/main,JAVA
1748,site/,JAVA
612,site/,JAVA
645,src/main,JAVA
2529,tools/,JAVA
1593,src/main,JAVA
3294,site/,JAVA
619,tools/,JAVA
1454,src/main,JAVA
1477,src/test,Starlark
13583,src/main,JAVA
4587,tools/,JAVA
1744,tools/,JAVA
2486,src/test,JAVA
589,tools/,JAVA
18454,site/,JAVA
1119,src/main,JAVA
13159,tools/,JAVA
14851,bazelci/,JAVA
9738,src/main,JAVA
2389,site/,C/C++
580,src/test,JAVA
861,src/test,Starlark
670,tools/,JAVA
9757,src/test,Starlark
609,third_party/,Starlark
1128,src/test,Starlark
622,tools/,JAVA
19431,src/main,JAVA
2212,src/main,JAVA
1432,src/main,JAVA
3496,src/main,JAVA
1836,src/main,JAVA
18170,tools/,JAVA
1506,tools/,JAVA
2337,tools/,JAVA
2959,src/main,JAVA
1593,src/main,JAVA
1452,src/main,JAVA
7908,src/main,JAVA
3503,tools/,JAVA
15908,src/main,JAVA
4853,src/main,JAVA
1534,tools/,JAVA
601,src/main,JAVA
6341,tools/,JAVA
1754,src/test,JAVA
655,site/,JAVA
593,src/main,JAVA
1504,src/main,JAVA
2512,tools/,JAVA
13621,tools/,JAVA
1692,tools/,JAVA
795,tools/,JAVA
4414,third_party/,C/C++
1077,tools/,Starlark
2094,src/main,JAVA
2603,third_party/,C/C++
4547,src/test,JAVA
2278,tools/,JAVA
2747,site/,JAVA
627,src/main,JAVA
16181,tools/,JAVA
15485,src/main,JAVA
2265,src/main,JAVA
3061,tools/,JAVA
15253,src/test,JAVA
662,src/main,JAVA
8375,src/main,JAVA
12477,tools/,JAVA
1743,src/main,JAVA
2443,src/main,JAVA
14668,src/test,JAVA
630,tools/,JAVA
4045,src/main,JAVA
8067,src/main,JAVA
1508,src/main,JAVA
7239,src/main,JAVA
3995,tools/,JAVA
1346,tools/,JAVA
629,tools/,JAVA
9598,src/main,JAVA
15154,src/main,JAVA
835,src/main,JAVA
1398,site/,JAVA
583,tools/,JAVA
1391,third_party/,Starlark
37481,site/,JAVA
855,src/main,JAVA
1644,src/main,JAVA
3803,bazelci/,Starlark
10756,src/main,JAVA
1994,src/test,JAVA
700,src/main,JAVA
671,tools/,JAVA
1383,src/main,C/C++
1220,src/main,JAVA
852,tools/,JAVA
1519,src/main,JAVA
1477,bazelci/,Starlark
7822,src/main,JAVA
2480,tools/,Starlark
1337,tools/,JAVA
1422,src/main,JAVA
1862,src/main,JAVA
16722,src/test,JAVA
669,tools/,JAVA
5481,src/main,JAVA
2632,tools/,JAVA
1415,tools/,JAVA
14965,src/main,JAVA
1558,src/test,JAVA
665,src/test,JAVA
668,src/main,JAVA
1414,site/,C/C++
591,src/main,JAVA
7483,tools/,JAVA
1794,tools/,JAVA
1493,site/,C/C++
991,tools/,JAVA
13574,tools/,JAVA
6280,tools/,JAVA
16997,site/,C/C++
631,site/,JAVA
564,src/main,JAVA
2278,src/main,JAVA
7603,tools/,JAVA
4210,src/test,python
4552,src/main,JAVA
1516,tools/,JAVA
16928,tools/,JAVA
2229,src/main,JAVA
1950,tools/,JAVA
3769,tools/,C/C++
1404,tools/,C/C++
1368,src/test,JAVA
571,src/test,JAVA
577,src/test,JAVA
639,bazelci/,JAVA
7416,src/test,JAVA
737,tools/,JAVA
7848,src/test,JAVA
697,src/main,JAVA
15556,src/test,JAVA
1104,src/main,JAVA
16664,site/,JAVA
634,src/main,JAVA
8116,src/test,JAVA
566,src/main,JAVA
1577,src/main,JAVA
3154,src/main,JAVA
3024,site/,JAVA
612,src/test,JAVA
1910,site/,C/C++
579,tools/,JAVA
1290,src/main,JAVA
1489,src/main,JAVA
1431,src/main,JAVA
1820,src/test,JAVA
630,src/main,JAVA
5276,tools/,JAVA
16561,src/main,C/C++
1422,src/test,C/C++
632,site/,JAVA
602,tools/,JAVA
1991,src/main,JAVA
5286,site/,C/C++
611,tools/,JAVA
2245,tools/,JAVA
1654,src/main,JAVA
11140,src/main,JAVA
1974,site/,C/C++
590,src/main,JAVA
1550,tools/,JAVA
3060,site/,JAVA
592,tools/,JAVA
2291,src/main,JAVA
6534,third_party/,C/C++
1472,src/main,JAVA
7006,src/main,JAVA
1535,tools/,JAVA
6520,src/main,JAVA
8181,src/main,JAVA
6107,tools/,JAVA
2466,tools/,JAVA
1492,third_party/,Starlark
37113,src/main,JAVA
2218,site/,JAVA
694,src/main,JAVA
3845,src/main,C/C++
2339,site/,C/C++
593,tools/,JAVA
584,src/main,JAVA
3310,src/main,JAVA
782,src/main,JAVA
15754,src/main,JAVA
1645,src/test,JAVA
602,tools/,JAVA
6552,src/main,JAVA
4962,tools/,JAVA
7193,tools/,JAVA
1839,src/main,JAVA
6513,src/main,JAVA
5535,src/test,JAVA
680,site/,JAVA
594,tools/,JAVA
17580,src/test,JAVA
714,tools/,JAVA
4065,bazelci/,Starlark
9849,src/main,JAVA
1671,tools/,JAVA
2296,site/,JAVA
594,site/,JAVA
585,tools/,JAVA
16356,src/main,C/C++
2537,tools/,JAVA
11109,src/test,JAVA
606,tools/,JAVA
13163,tools/,JAVA
6636,src/main,JAVA
1816,tools/,JAVA
2762,tools/,JAVA
3907,tools/,JAVA
593,src/main,JAVA
1475,site/,JAVA
598,src/main,JAVA
6367,site/,C/C++
605,src/main,JAVA
1529,tools/,JAVA
587,tools/,JAVA
3897,src/main,JAVA
1547,src/main,JAVA
1455,site/,C/C++
678,site/,JAVA
574,tools/,JAVA
19252,site/,JAVA
787,tools/,JAVA
27056,src/test,JAVA
817,site/,JAVA
588,src/main,JAVA
14382,tools/,JAVA
9242,src/main,JAVA
2076,src/test,JAVA
602,src/main,JAVA
1763,src/test,JAVA
594,tools/,JAVA
17442,tools/,JAVA
2068,tools/,JAVA
15183,src/test,JAVA
700,tools/,JAVA
12456,tools/,JAVA
1733,tools/,JAVA
14439,src/main,JAVA
15505,src/main,JAVA
2131,tools/,JAVA
2171,tools/,JAVA
1324,tools/,JAVA
627,src/test,JAVA
602,src/test,JAVA
657,tools/,JAVA
629,src/test,JAVA
594,src/test,JAVA
659,tools/,JAVA
1427,tools/,JAVA
2368,src/test,JAVA
600,site/,JAVA
605,tools/,JAVA
17167,src/main,JAVA
2173,tools/,JAVA
16783,tools/,JAVA
2210,src/main,JAVA
1960,tools/,JAVA
14638,src/main,JAVA
6508,src/main,JAVA
4109,src/main,JAVA
8131,src/main,JAVA
2884,src/main,JAVA
8142,tools/,Starlark
14281,src/main,JAVA
1629,tools/,JAVA
13095,src/main,Starlark
3543,site/,C/C++
602,src/main,JAVA
1366,tools/,JAVA
1402,tools/,JAVA
10169,tools/,JAVA
1536,src/main,JAVA
1990,src/test,JAVA
597,tools/,JAVA
22702,src/test,JAVA
1209,scripts/,JAVA
615,src/main,JAVA
1493,src/main,JAVA
2124,src/main,JAVA
737,src/main,JAVA
1853,src/main,JAVA
4873,tools/,JAVA
1904,bazelci/,Starlark
8317,tools/,JAVA
9009,tools/,JAVA
2480,src/main,JAVA
14066,src/main,JAVA
2400,src/main,JAVA
2045,tools/,JAVA
2588,src/main,JAVA
1812,tools/,JAVA
1321,src/test,JAVA
574,tools/,JAVA
4259,tools/,JAVA
1499,site/,JAVA
671,tools/,JAVA
1588,src/main,JAVA
2036,site/,JAVA
585,bazelci/,Starlark
8565,tools/,JAVA
5906,src/main,JAVA
1547,site/,C/C++
861,src/test,JAVA
4689,src/main,JAVA
11197,src/main,JAVA
2098,site/,C/C++
585,src/main,JAVA
2137,src/main,JAVA
1536,tools/,JAVA
10254,src/main,JAVA
11084,src/test,JAVA
626,src/main,C/C++
1270,site/,C/C++
876,site/,C/C++
571,tools/,JAVA
